iter	Passed	Remaining
686	10237	4664
687	10246	4646
688	10258	4630
689	10264	4611
690	10271	4593
691	10278	4575
692	10288	4557
693	10299	4541
694	10310	4524
695	10318	4506
696	10324	4488
697	10329	4469
698	10337	4451
699	10347	4434
700	10359	4418
701	10366	4400
702	10375	4383
703	10381	4364
704	10392	4348
705	10407	4333
706	10414	4316
707	10422	4298
708	10432	4281
709	10444	4266
710	10460	4251
711	10470	4235
712	10480	4218
713	10495	4204
714	10508	4188
715	10514	4170
716	10524	4153
717	10531	4136
718	10539	4119
719	10548	4102
720	10559	4086
721	10566	4068
722	10575	4051
723	10584	4035
724	10592	4017
725	10601	4000
726	10607	3983
727	10615	3966
728	10618	3947
729	10625	3929
730	10632	3912
731	10640	3895
732	10648	3878
733	10656	3861
734	10663	3844
735	10667	3826
736	10675	3809
737	10682	3792
738	10690	3775
739	10702	3760
740	10707	3742
741	10715	3725
742	10721	3708
743	10728	3691
744	10738	3675
745	10745	3658
746	10754	3642
747	10761	3625
748	10770	3609
749	10776	3592
750	10788	3576
751	10800	3561
752	10810	3546
753	10820	3530
754	10828	3513
755	10838	3498
756	10849	3482
757	10857	3466
758	10866	3450
759	10872	3433
760	10881	3417
761	10893	3402
762	10903	3386
763	10911	3370
764	10920	3354
765	10930	3339
766	10941	3323
767	10952	3308
768	10963	3293
769	10971	3277
770	10979	3261
771	10986	3244
772	10996	3229
773	11003	3213
774	11053	3209
775	11070	3195
776	11081	3180
777	11097	3166
778	11106	3150
779	11114	3134
780	11123	3119
781	11130	3102
782	11140	3087
783	11150	3072
784	11161	3056
785	11168	3040
786	11179	3025
787	11191	3010
788	11202	2995
789	11210	2979
790	11219	2964
791	11227	2948
792	11240	2934
793	11252	2919
794	11266	2905
795	11295	2894
796	11309	2880
797	11331	2868
798	11344	2853
799	11356	2839
800	11364	2823
801	11371	2807
802	11392	2794
803	11405	2780
804	11423	2767
805	11436	2752
806	11446	2737
807	11460	2723
808	11478	2709
809	11491	2695
810	11502	2680
811	11512	2665
812	11523	2650
813	11533	2635
814	11546	2620
815	11559	2606
816	11569	2591
817	11579	2576
818	11593	2562
819	11603	2547
820	11611	2531
821	11624	2517
822	11636	2502
823	11647	2487
824	11657	2472
825	11667	2457
826	11682	2443
827	11693	2429
